username,section,inperson_reason,remote_reason,modality_preference,class_standing,gender,race
3,CSE 100 (in-person),I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I am concerned that I will be unable to focus if I attend remotely.,,in-person,4th Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
4,CSE 100 (in-person),I prefer to learn in an in-person setting.;I am concerned that I will be unable to focus if I attend remotely.,,no preference,2nd Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
5,CSE 100R (remote),,It is more convenient to attend remotely since I'm living off campus,no preference,2nd Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
6,CSE 100R (remote),,"I prefer to learn in a remote setting.;It is easier for me to learn in a remote setting.;I am unable to get to campus on those days, so it is more convenient.",remote,4th Year (Undergrad),Male,"White (e.g. German, Irish, English, Italian, Polish, French);American Indian or Alaska Native (e.g. Navajo nation, Blackfeet tribe, Mayan, Aztec)"
8,CSE 100 (in-person),"I will already be on campus on those days, so it is more convenient.",,remote,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
9,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,in-person,2nd Year (Undergrad),Female,"White (e.g. German, Irish, English, Italian, Polish, French)"
11,CSE 100 (in-person),I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I am concerned that I will be unable to focus if I attend remotely.,,in-person,4th Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
12,CSE 100R (remote),,The in-person section was full.,remote,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
13,CSE 100 (in-person),I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.,,in-person,3rd Year (Undergrad),Male,"Middle Eastern or North African (e.g. Lebanese, Iranian, Egyptian, Syrian, Moroccan)"
14,CSE 100R (remote),,I prefer to learn in a remote setting.;It is easier for me to learn in a remote setting.;I am concerned for my health during the ongoing COVID-19 pandemic.,remote,3rd Year (Undergrad),Male,Prefer not to answer
15,CSE 100R (remote),,The in-person section was full.,in-person,3rd Year (Undergrad),Male,"White (e.g. German, Irish, English, Italian, Polish, French)"
16,CSE 100 (in-person),I am concerned that I will be unable to focus if I attend remotely.,,no preference,2nd Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
17,CSE 100 (in-person),"I will already be on campus on those days, so it is more convenient.",,no preference,4th Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
18,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,in-person,3rd Year (Undergrad),Prefer not to answer,Prefer not to answer
20,CSE 100R (remote),,I prefer to learn in a remote setting.;I am concerned for my health during the ongoing COVID-19 pandemic.,remote,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
23,CSE 100 (in-person),It is easier for me to learn in an in-person setting.;I am concerned that I will be unable to focus if I attend remotely.,,no preference,3rd Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
25,CSE 100 (in-person),I prefer to learn in an in-person setting.,,remote,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
26,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.;I like being able to work with other students in person and meet new people.",,in-person,2nd Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
33,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,in-person,3rd Year (Undergrad),Male,"White (e.g. German, Irish, English, Italian, Polish, French)"
34,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,in-person,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
35,CSE 100R (remote),,The in-person section was full.,no preference,3rd Year (Undergrad),Male,"White (e.g. German, Irish, English, Italian, Polish, French)"
36,CSE 100R (remote),,"I prefer to learn in a remote setting.;It is easier for me to learn in a remote setting.;I am unable to get to campus on those days, so it is more convenient.;The in-person section was full.",remote,3rd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
39,CSE 100 (in-person),"I prefer to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,in-person,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian);Middle Eastern or North African (e.g. Lebanese, Iranian, Egyptian, Syrian, Moroccan)"
40,CSE 100R (remote),,I prefer to learn in a remote setting.,remote,4th Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
41,CSE 100R (remote),,The in-person section was full.,in-person,2nd Year (Undergrad),Male,"White (e.g. German, Irish, English, Italian, Polish, French)"
42,CSE 100R (remote),,It is easier for me to learn in a remote setting.;The in-person section was full.,in-person,2nd Year (Undergrad),Male,Prefer not to answer
49,CSE 100R (remote),,The in-person section was full.,in-person,4th Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
50,CSE 100R (remote),,i couldn't get into CSE 100 non remote,in-person,3rd Year (Undergrad),Male,"Middle Eastern or North African (e.g. Lebanese, Iranian, Egyptian, Syrian, Moroccan)"
51,CSE 100R (remote),,"I am unable to get to campus on those days, so it is more convenient.;I am concerned for my health during the ongoing COVID-19 pandemic.",remote,3rd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
52,CSE 100R (remote),,I prefer to learn in a remote setting.;The in-person section was full.,no preference,2nd Year (Undergrad),Male,"White (e.g. German, Irish, English, Italian, Polish, French);Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
53,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,in-person,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
56,CSE 100R (remote),,I prefer to learn in a remote setting.;The in-person section was full.,remote,3rd Year (Undergrad),Male,"White (e.g. German, Irish, English, Italian, Polish, French);Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
57,CSE 100R (remote),,I prefer to learn in a remote setting.;The in-person section was full.,remote,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
58,CSE 100R (remote),,"I am unable to get to campus on those days, so it is more convenient.",in-person,4th Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
61,CSE 100R (remote),,The in-person section was full.,no preference,4th Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
62,CSE 100R (remote),,The in-person section was full.,in-person,Masters/PhD Student,Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
63,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.",,no preference,2nd Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
64,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,in-person,4th Year (Undergrad),Female,"White (e.g. German, Irish, English, Italian, Polish, French)"
65,CSE 100R (remote),,I prefer to learn in a remote setting.,remote,4th Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
66,CSE 100R (remote),,The in-person section was full.,remote,4th Year (Undergrad),Male,"White (e.g. German, Irish, English, Italian, Polish, French)"
68,CSE 100R (remote),,The in-person section was full.,in-person,2nd Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
70,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,in-person,2nd Year (Undergrad),Male,Other
71,CSE 100 (in-person),I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I am concerned that I will be unable to focus if I attend remotely.,,in-person,2nd Year (Undergrad),Male,"White (e.g. German, Irish, English, Italian, Polish, French)"
72,CSE 100R (remote),,"I prefer to learn in a remote setting.;I am unable to get to campus on those days, so it is more convenient.",no preference,4th Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
73,CSE 100 (in-person),None of the above,,remote,4th Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
74,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,in-person,2nd Year (Undergrad),Male,"White (e.g. German, Irish, English, Italian, Polish, French)"
75,CSE 100 (in-person),"I will already be on campus on those days, so it is more convenient.",,remote,2nd Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
76,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.;I believe there can be no success in this field without conversation. The scoring in this department heavily punished me (and I assume others) for asking the wrong questions with zero scores, since I failed CSE 30 remotely and delayed retaking it for over a year before earning an A in person.",,in-person,4th Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
77,CSE 100R (remote),,"I prefer to learn in a remote setting.;I am unable to get to campus on those days, so it is more convenient.",remote,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
78,CSE 100R (remote),,The in-person section was full.,in-person,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
79,CSE 100R (remote),,The in-person section was full.,no preference,4th Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
81,CSE 100R (remote),,It is easier for me to learn in a remote setting.;The in-person section was full.,no preference,4th Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
82,CSE 100 (in-person),"I will already be on campus on those days, so it is more convenient.",,no preference,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
83,CSE 100R (remote),,I prefer to learn in a remote setting.;It is easier for me to learn in a remote setting.;The in-person section was full.,remote,3rd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
84,CSE 100R (remote),,It is easier for me to learn in a remote setting.;The in-person section was full.,no preference,3rd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
86,CSE 100R (remote),,The in-person section was full.,in-person,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
87,CSE 100R (remote),,I prefer to learn in a remote setting.;The in-person section was full.,no preference,3rd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
88,CSE 100R (remote),,The in-person section was full.;I didn't want to wake up that early and walk to an in-person course,in-person,2nd Year (Undergrad),Female,"White (e.g. German, Irish, English, Italian, Polish, French);Turkish American"
89,CSE 100R (remote),,I prefer to learn in a remote setting.,remote,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
90,CSE 100 (in-person),"I prefer to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.",,in-person,4th Year (Undergrad),Male,Other
91,CSE 100R (remote),,"I prefer to learn in a remote setting.;It is easier for me to learn in a remote setting.;I am unable to get to campus on those days, so it is more convenient.;I am concerned for my health during the ongoing COVID-19 pandemic.",remote,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
95,CSE 100R (remote),,The in-person section was full.,in-person,3rd Year (Undergrad),Female,"White (e.g. German, Irish, English, Italian, Polish, French);Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
97,CSE 100 (in-person),I am concerned that I will be unable to focus if I attend remotely.,,remote,5th+ Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
98,CSE 100 (in-person),"It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,in-person,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
99,CSE 100R (remote),,The in-person section was full.,in-person,3rd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
100,CSE 100 (in-person),"I will already be on campus on those days, so it is more convenient.",,remote,2nd Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
101,CSE 100R (remote),,I prefer to learn in a remote setting.;I am concerned for my health during the ongoing COVID-19 pandemic.,remote,4th Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
102,CSE 100R (remote),,It is easier for me to learn in a remote setting.,remote,3rd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
105,CSE 100R (remote),,I prefer to learn in a remote setting.;It is easier for me to learn in a remote setting.,remote,4th Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
106,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,in-person,4th Year (Undergrad),Male,"White (e.g. German, Irish, English, Italian, Polish, French)"
108,CSE 100R (remote),,The in-person section was full.,in-person,3rd Year (Undergrad),Female,"White (e.g. German, Irish, English, Italian, Polish, French)"
110,CSE 100R (remote),,"I prefer to learn in a remote setting.;It is easier for me to learn in a remote setting.;I am unable to get to campus on those days, so it is more convenient.;I am concerned for my health during the ongoing COVID-19 pandemic.;The in-person section was full.",remote,3rd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
111,CSE 100R (remote),,I prefer to learn in a remote setting.,remote,4th Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
112,CSE 100 (in-person),It is easier for me to learn in an in-person setting.,,remote,3rd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
114,CSE 100R (remote),,The in-person section was full.,in-person,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
116,CSE 100 (in-person),"I will already be on campus on those days, so it is more convenient.",,remote,4th Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
118,CSE 100R (remote),,The in-person section was full.,no preference,4th Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
119,CSE 100 (in-person),I prefer to learn in an in-person setting.,,no preference,Masters/PhD Student,Prefer not to answer,Prefer not to answer
123,CSE 100 (in-person),None of the above,,remote,5th+ Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
124,CSE 100 (in-person),I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I am concerned that I will be unable to focus if I attend remotely.,,in-person,4th Year (Undergrad),Male,Prefer not to answer
125,CSE 100 (in-person),I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I am concerned that I will be unable to focus if I attend remotely.,,no preference,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
127,CSE 100 (in-person),I prefer to learn in an in-person setting.,,in-person,4th Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
131,CSE 100R (remote),,I prefer to learn in a remote setting.;The in-person section was full.,remote,2nd Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
132,CSE 100R (remote),,"I prefer to learn in a remote setting.;I am unable to get to campus on those days, so it is more convenient.",remote,3rd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
133,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,in-person,2nd Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
134,CSE 100 (in-person),"I prefer to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.",,in-person,2nd Year (Undergrad),Male,"White (e.g. German, Irish, English, Italian, Polish, French);Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
135,CSE 100 (in-person),"It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.",,no preference,2nd Year (Undergrad),Female,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
136,CSE 100R (remote),,"I am unable to get to campus on those days, so it is more convenient.;The in-person section was full.",remote,3rd Year (Undergrad),Male,Other
138,CSE 100R (remote),,The in-person section was full.,remote,3rd Year (Undergrad),Male,"White (e.g. German, Irish, English, Italian, Polish, French);Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
141,CSE 100 (in-person),I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I am concerned that I will be unable to focus if I attend remotely.,,in-person,5th+ Year (Undergrad),Male,"White (e.g. German, Irish, English, Italian, Polish, French)"
142,CSE 100 (in-person),"I prefer to learn in an in-person setting.;It is easier for me to learn in an in-person setting.;I will already be on campus on those days, so it is more convenient.;I am concerned that I will be unable to focus if I attend remotely.",,in-person,5th+ Year (Undergrad),Male,"Asian (e.g. Chinese, Filipino, Vietnamese, Korean, Japanese, Asian Indian)"
